Id	rnase0	rnase1	rnase2	rnase3	rnase4	rnase5
Cutc	2	4	16	12	20	26
Wbp1l	2	10	54	39	28	20
4930502E18Rik	0	0	0	0	1	1
Cntn4	2	13	129	153	187	170
Fbxo39	0	0	0	0	0	0
Kctd12	7	223	1479	767	770	575
Sp1	2	16	131	85	114	138
F830045P16Rik	0	0	0	0	0	0
Rad18	0	2	18	20	27	16
Wdr73	1	4	67	66	58	52
Surf1	7	21	123	123	123	108
Slc37a1	2	1	20	17	9	6
Rnf151	0	0	1	0	0	0
Olfr1089	0	0	0	0	0	0
Upk1b	0	0	0	0	2	1
Syngr2	2	9	78	42	48	37
Micu3	24	50	356	267	284	281
Gm2897	0	0	0	0	0	0
Spef2	0	0	7	4	15	10
Wdr7	37	112	1008	922	1090	1036
Trim31	0	0	0	0	0	0
Exosc4	2	25	225	130	161	98
Vmn1r14	0	0	0	0	0	0
Pafah2	0	2	18	15	11	13
Rtcb	5	21	320	249	310	265
Cym	0	0	0	0	0	0
2610305D13Rik	0	0	1	0	2	0
1600002H07Rik	0	5	20	15	14	11
Ap5z1	0	2	73	46	35	29
Ltbp1	2	4	48	49	50	49
Cdh5	2	5	17	15	24	27
Cradd	0	2	31	19	28	10
Ecm2	0	2	67	48	63	71
Dnajb1	8	27	221	176	236	234
Mmgt2	0	6	42	31	29	15
Npc1	14	73	821	622	696	691
Fat3	35	73	348	292	370	437
Kif14	0	0	1	1	1	1
Arsj	0	2	4	4	3	3
Hist2h2aa2	0	0	0	0	0	0
Bre	5	13	191	174	183	155
Cd209e	0	0	0	0	0	0
Olfr746	0	0	0	0	0	0
Glt8d2	0	6	81	78	97	89
BC048609	0	0	0	0	0	0
Tmbim7	0	0	0	0	0	0
Psmc3	10	46	508	564	599	671
Lrrc8c	7	10	191	126	162	136
Sirpb1a	0	0	0	0	0	0
Olfr432	0	0	0	0	0	0
Ffar1	0	0	0	0	0	0
Cox4i2	0	2	6	6	5	5
Spta1	0	0	2	0	0	0
Pdk3	9	19	200	223	223	198
Olfr490	0	0	0	0	0	0
Tfap2a	0	0	1	0	0	1
Cct3	14	68	712	705	687	696
Cfb	0	0	1	0	1	0
Tgtp2	0	0	0	0	0	0
Sqstm1	21	261	2390	1795	1747	1431
Pcx	4	36	233	157	166	156
Slc9a5	2	8	36	31	32	26
Antxr2	0	2	5	5	8	5
C1qb	9	49	387	240	229	211
Chchd5	0	3	28	19	29	13
Palm	4	28	270	229	306	271
Acpp	0	0	0	0	4	3
Rdh9	0	0	0	0	0	0
Olfr1087	0	0	0	0	0	0
Slc25a39	10	20	99	49	63	63
Pacsin3	0	9	21	18	17	14
Fam195a	0	1	28	21	17	10
Olfr1045	0	0	0	0	0	0
Gm14781	0	0	0	0	0	0
Brpf3	2	12	68	52	52	45
Kcnh2	4	14	165	73	91	56
Gm4907	0	1	0	0	0	0
Fbxo27	1	5	21	15	13	10
Rnase2b	0	0	1	0	1	1
a	0	0	0	0	0	0
Stbd1	1	2	30	15	8	9
Tex9	1	1	8	5	11	11
Nptx1	32	308	3372	2605	2813	2345
Rab18	3	29	338	402	578	560
Txnrd1	3	20	158	140	172	144
Gm11562	0	0	0	0	0	0
